idx1,idx2,Lat,Lon,Label,Name
30,5,47.71,32.21,15,other_land
31,5,47.97,31.6,15,other_land
32,5,48.22,30.98,15,other_land
33,5,48.47,30.36,15,other_land
34,5,48.71,29.72,15,other_land
35,5,48.95,29.08,15,other_land
36,5,49.18,28.43,15,other_land
37,5,49.41,27.77,15,other_land
38,5,49.64,27.1,15,other_land
39,5,49.86,26.42,15,other_land
40,5,50.08,25.74,15,other_land
41,5,50.29,25.05,15,other_land
42,5,50.49,24.35,15,other_land
43,5,50.69,23.64,15,other_land
44,5,50.89,22.93,15,other_land
45,5,51.08,22.2,15,other_land
46,5,51.26,21.47,15,other_land
47,5,51.44,20.73,15,other_land
48,5,51.61,19.99,15,other_land
49,5,51.78,19.24,15,other_land
50,5,51.94,18.48,15,other_land
51,5,52.1,17.71,15,other_land
52,5,52.24,16.94,15,other_land
53,5,52.39,16.16,15,other_land
54,5,52.52,15.37,15,other_land
55,5,52.65,14.58,15,other_land
56,5,52.77,13.79,15,other_land
57,5,52.89,12.98,15,other_land
58,5,53.0,12.18,15,other_land
59,5,53.1,11.36,15,other_land
60,5,53.19,10.55,15,other_land
61,5,53.28,9.73,15,other_land
62,5,53.36,8.9,15,other_land
63,5,53.44,8.07,15,other_land
64,5,53.5,7.24,15,other_land
65,5,53.56,6.4,14,other_sea
66,5,53.62,5.56,14,other_sea
67,5,53.66,4.72,14,other_sea
68,5,53.7,3.88,14,other_sea
69,5,53.73,3.04,14,other_sea
70,5,53.75,2.19,14,other_sea
71,5,53.77,1.34,14,other_sea
72,5,53.77,0.49,14,other_sea
73,5,53.78,-0.35,15,other_land
74,5,53.77,-1.2,15,other_land
75,5,53.75,-2.05,15,other_land
76,5,53.73,-2.89,15,other_land
77,5,53.7,-3.74,14,other_sea
78,5,53.67,-4.58,14,other_sea
79,5,53.62,-5.42,14,other_sea
80,5,53.57,-6.26,15,other_land
81,5,53.51,-7.1,15,other_land
82,5,53.45,-7.93,15,other_land
83,5,53.38,-8.76,15,other_land
84,5,53.3,-9.59,15,other_land
85,5,53.21,-10.41,14,other_sea
86,5,53.11,-11.23,14,other_sea
87,5,53.01,-12.04,14,other_sea
88,5,52.91,-12.85,14,other_sea
89,5,52.79,-13.65,14,other_sea
90,5,52.67,-14.45,14,other_sea
91,5,52.54,-15.24,14,other_sea
92,5,52.41,-16.03,14,other_sea
93,5,52.27,-16.81,14,other_sea
94,5,52.12,-17.58,14,other_sea
95,5,51.97,-18.35,14,other_sea
96,5,51.81,-19.11,14,other_sea
97,5,51.64,-19.86,14,other_sea
98,5,51.47,-20.61,14,other_sea
99,5,51.29,-21.35,14,other_sea
100,5,51.11,-22.08,14,other_sea
101,5,50.92,-22.81,14,other_sea
102,5,50.73,-23.52,14,other_sea
103,5,50.53,-24.23,14,other_sea
104,5,50.32,-24.93,14,other_sea
105,5,50.11,-25.62,14,other_sea
106,5,49.9,-26.31,14,other_sea
107,5,49.68,-26.99,14,other_sea
108,5,49.45,-27.66,14,other_sea
109,5,49.22,-28.32,14,other_sea
110,5,48.99,-28.97,14,other_sea
111,5,48.75,-29.62,14,other_sea
112,5,48.51,-30.25,14,other_sea
113,5,48.26,-30.88,14,other_sea
114,5,48.01,-31.5,14,other_sea
115,5,47.75,-32.11,14,other_sea
116,5,47.49,-32.72,14,other_sea
117,5,47.23,-33.31,14,other_sea
118,5,46.96,-33.9,14,other_sea
119,5,46.69,-34.48,14,other_sea
120,5,46.42,-35.05,14,other_sea
121,5,46.14,-35.62,14,other_sea
122,5,45.86,-36.17,14,other_sea
123,5,45.58,-36.72,14,other_sea
124,5,45.29,-37.26,14,other_sea
125,5,45.0,-37.8,14,other_sea
126,5,44.71,-38.32,14,other_sea
127,5,44.41,-38.84,14,other_sea
128,5,44.11,-39.35,14,other_sea
129,5,43.81,-39.85,14,other_sea
130,5,43.51,-40.35,14,other_sea
131,5,43.2,-40.84,14,other_sea
132,5,42.9,-41.32,14,other_sea
133,5,42.59,-41.8,14,other_sea
134,5,42.27,-42.26,14,other_sea
135,5,41.96,-42.72,14,other_sea
136,5,41.64,-43.18,14,other_sea
137,5,41.33,-43.63,14,other_sea
138,5,41.01,-44.07,14,other_sea
139,5,40.68,-44.5,14,other_sea
140,5,40.36,-44.93,14,other_sea
141,5,40.04,-45.35,14,other_sea
142,5,39.71,-45.77,14,other_sea
143,5,39.38,-46.18,14,other_sea
144,5,39.05,-46.58,14,other_sea
145,5,38.72,-46.98,14,other_sea
1,6,39.31,47.07,15,other_land
2,6,39.64,46.67,15,other_land
